year,strategy,blend_weight,accuracy,n_games,correct,model_only_acc
2022,D: +TeamStats top60,0.0,0.7258883248730964,197,143,0.7411167512690355
2022,D: +TeamStats top60,0.1,0.7360406091370558,197,145,0.7411167512690355
2022,D: +TeamStats top60,0.2,0.7360406091370558,197,145,0.7411167512690355
2022,D: +TeamStats top60,0.28,0.7360406091370558,197,145,0.7411167512690355
2022,D: +TeamStats top60,0.35,0.7360406091370558,197,145,0.7411167512690355
2022,D: +TeamStats top60,0.45,0.7360406091370558,197,145,0.7411167512690355
2022,D: +TeamStats top60,0.55,0.7360406091370558,197,145,0.7411167512690355
2022,D: +TeamStats top60,0.65,0.7411167512690355,197,146,0.7411167512690355
2022,E: TeamStats only,0.0,0.7258883248730964,197,143,0.583756345177665
2022,E: TeamStats only,0.1,0.7360406091370558,197,145,0.583756345177665
2022,E: TeamStats only,0.2,0.7157360406091371,197,141,0.583756345177665
2022,E: TeamStats only,0.28,0.7106598984771574,197,140,0.583756345177665
2022,E: TeamStats only,0.35,0.6954314720812182,197,137,0.583756345177665
2022,E: TeamStats only,0.45,0.6903553299492385,197,136,0.583756345177665
2022,E: TeamStats only,0.55,0.6700507614213198,197,132,0.583756345177665
2022,E: TeamStats only,0.65,0.649746192893401,197,127,0.583756345177665
2023,A: Baseline top50,0.0,0.6923076923076923,208,144,0.7115384615384616
2023,A: Baseline top50,0.1,0.6971153846153846,208,145,0.7115384615384616
2023,A: Baseline top50,0.2,0.6923076923076923,208,144,0.7115384615384616
2023,A: Baseline top50,0.28,0.6923076923076923,208,144,0.7115384615384616
2023,A: Baseline top50,0.35,0.6923076923076923,208,144,0.7115384615384616
2023,A: Baseline top50,0.45,0.6923076923076923,208,144,0.7115384615384616
2023,A: Baseline top50,0.55,0.6971153846153846,208,145,0.7115384615384616
2023,A: Baseline top50,0.65,0.7019230769230769,208,146,0.7115384615384616
2023,B: +TeamStats top50,0.0,0.6923076923076923,208,144,0.6875
2023,B: +TeamStats top50,0.1,0.6971153846153846,208,145,0.6875
2023,B: +TeamStats top50,0.2,0.6875,208,143,0.6875
2023,B: +TeamStats top50,0.28,0.6875,208,143,0.6875
2023,B: +TeamStats top50,0.35,0.6923076923076923,208,144,0.6875
2023,B: +TeamStats top50,0.45,0.7019230769230769,208,146,0.6875
2023,B: +TeamStats top50,0.55,0.7019230769230769,208,146,0.6875
2023,B: +TeamStats top50,0.65,0.7019230769230769,208,146,0.6875
2023,C: Hybrid 35+15,0.0,0.6923076923076923,208,144,0.6875
2023,C: Hybrid 35+15,0.1,0.6971153846153846,208,145,0.6875
2023,C: Hybrid 35+15,0.2,0.6923076923076923,208,144,0.6875
2023,C: Hybrid 35+15,0.28,0.6923076923076923,208,144,0.6875
2023,C: Hybrid 35+15,0.35,0.6971153846153846,208,145,0.6875
2023,C: Hybrid 35+15,0.45,0.6971153846153846,208,145,0.6875
2023,C: Hybrid 35+15,0.55,0.6923076923076923,208,144,0.6875
2023,C: Hybrid 35+15,0.65,0.6923076923076923,208,144,0.6875
2023,D: +TeamStats top60,0.0,0.6923076923076923,208,144,0.6923076923076923
2023,D: +TeamStats top60,0.1,0.6971153846153846,208,145,0.6923076923076923
2023,D: +TeamStats top60,0.2,0.6826923076923077,208,142,0.6923076923076923
2023,D: +TeamStats top60,0.28,0.6923076923076923,208,144,0.6923076923076923
2023,D: +TeamStats top60,0.35,0.6923076923076923,208,144,0.6923076923076923
2023,D: +TeamStats top60,0.45,0.6971153846153846,208,145,0.6923076923076923
2023,D: +TeamStats top60,0.55,0.6971153846153846,208,145,0.6923076923076923
2023,D: +TeamStats top60,0.65,0.6923076923076923,208,144,0.6923076923076923
2023,E: TeamStats only,0.0,0.6923076923076923,208,144,0.5913461538461539
2023,E: TeamStats only,0.1,0.6826923076923077,208,142,0.5913461538461539
2023,E: TeamStats only,0.2,0.6875,208,143,0.5913461538461539
2023,E: TeamStats only,0.28,0.6923076923076923,208,144,0.5913461538461539
2023,E: TeamStats only,0.35,0.6682692307692307,208,139,0.5913461538461539
2023,E: TeamStats only,0.45,0.6538461538461539,208,136,0.5913461538461539
2023,E: TeamStats only,0.55,0.6586538461538461,208,137,0.5913461538461539
2023,E: TeamStats only,0.65,0.6394230769230769,208,133,0.5913461538461539
2024,A: Baseline top50,0.0,0.6201923076923077,208,129,0.6586538461538461
2024,A: Baseline top50,0.1,0.6346153846153846,208,132,0.6586538461538461
2024,A: Baseline top50,0.2,0.6298076923076923,208,131,0.6586538461538461
2024,A: Baseline top50,0.28,0.6394230769230769,208,133,0.6586538461538461
2024,A: Baseline top50,0.35,0.6394230769230769,208,133,0.6586538461538461
2024,A: Baseline top50,0.45,0.6442307692307693,208,134,0.6586538461538461
2024,A: Baseline top50,0.55,0.6394230769230769,208,133,0.6586538461538461
2024,A: Baseline top50,0.65,0.6538461538461539,208,136,0.6586538461538461
2024,B: +TeamStats top50,0.0,0.6201923076923077,208,129,0.6538461538461539
2024,B: +TeamStats top50,0.1,0.6298076923076923,208,131,0.6538461538461539
2024,B: +TeamStats top50,0.2,0.6298076923076923,208,131,0.6538461538461539
2024,B: +TeamStats top50,0.28,0.6298076923076923,208,131,0.6538461538461539
2024,B: +TeamStats top50,0.35,0.6346153846153846,208,132,0.6538461538461539
2024,B: +TeamStats top50,0.45,0.6346153846153846,208,132,0.6538461538461539
2024,B: +TeamStats top50,0.55,0.6394230769230769,208,133,0.6538461538461539
2024,B: +TeamStats top50,0.65,0.6442307692307693,208,134,0.6538461538461539
